"mtry","min.node.size","splitrule","Accuracy","Kappa","AccuracySD","KappaSD"
2,1,"gini",0.8,0.598606605161742,0.0346768522065163,0.0684911667900716
2,1,"extratrees",0.783018867924528,0.564970859429437,0.0455703671263819,0.0916826582871993
8,1,"gini",0.788679245283019,0.574739681132918,0.0485541108569026,0.0975907551156427
8,1,"extratrees",0.784905660377358,0.567547667308391,0.0512491793395305,0.102827379613283
15,1,"gini",0.773584905660377,0.544621438542633,0.0518629638442473,0.104327031782477
15,1,"extratrees",0.79622641509434,0.58904800799446,0.0385653074635369,0.0782599238889731
